from_id,to_id,distance,walk_time,status
P0001,P0002,348,5,open
P0001,P0006,198,3,open
P0001,P0007,162,3,open
P0001,P0026,412,6,open
P0001,P0083,187,3,open
P0002,P0003,85,2,open
P0002,P0026,96,2,open
P0002,P0083,261,4,open
P0003,P0025,251,4,open
P0006,P0007,47,1,open
P0007,P0018,437,6,open
P0007,P0026,346,5,open
P0007,P0045,541,7,open
P0018,P0025,98,2,open
P0018,P0026,112,2,open
P0018,P0045,442,6,open
P0018,P0047,323,5,open
P0018,P0087,226,3,open
P0025,P0026,143,2,open
P0025,P0047,532,7,open
P0025,P0084,152,2,open
P0045,P0047,281,4,open
P0045,P0085,312,4,open
P0045,P0087,145,2,open
P0047,P0085,96,2,open
P0047,P0087,318,4,open
