from_id,to_id,distance,walk_time,status
P0001,P0002,350,5,open
P0001,P0004,150,2,open
P0001,P0007,550,7,open
P0001,P0010,250,3,open
P0001,P0008,1400,18,open
P0001,P0009,1800,23,open
P0002,P0003,400,5,open
P0002,P0004,200,3,open
P0002,P0010,500,7,open
P0002,P0012,950,12,open
P0002,P0011,1400,18,open
P0003,P0004,550,7,open
P0003,P0005,900,12,open
P0003,P0006,1000,13,open
P0003,P0012,1100,14,open
P0004,P0007,700,9,open
P0004,P0005,1400,18,open
P0004,P0008,1500,19,open
P0004,P0011,1600,20,open
P0005,P0006,200,3,open
P0005,P0007,2200,28,open
P0005,P0011,900,12,open
P0006,P0011,1000,13,open
P0006,P0012,1700,22,open
P0007,P0008,900,12,open
P0007,P0009,600,8,open
P0008,P0009,200,3,open
P0008,P0010,1600,20,open
P0008,P0011,2200,28,open
P0009,P0010,800,10,open
P0009,P0012,1500,19,open
P0010,P0012,1300,17,open
P0011,P0012,700,9,open
P0001,P0005,1600,20,open
P0005,P0009,2400,30,open
P0002,P0005,1200,2,open
P0002,P0009,1300,2,open
P0002,P0006,1300,17,open
P0006,P0009,2100,27,open
P0007,P0011,1800,23,open
