from_id,to_id,distance,walk_time,status
P0001,P0002,200,3,open
P0001,P0003,100,2,open
P0001,P0008,800,10,open
P0002,P0003,250,3,open
P0002,P0004,200,3,open
P0002,P0006,500,7,open
P0003,P0004,400,5,open
P0003,P0007,100,2,open
P0004,P0005,150,2,open
P0004,P0006,400,5,open
P0005,P0007,600,8,open
P0006,P0007,300,4,open
P0006,P0008,400,5,open
P0007,P0008,1200,15,open
P0001,P0004,450,6,open
P0002,P0007,500,7,open
P0003,P0006,450,6,open
P0004,P0008,700,9,open
P0005,P0008,900,12,open
P0001,P0006,600,8,open
